id;nome
8167;"NOT - SR07 - Superintendência da Região do Médio Vale do Itajaí"
8168;"NOT - SR08 - SUPERINTENDÊNCIA DA REGIÃO DO PLANALTO NORTE"
11035;"NÚCLEO DE BUSCA E RECAPTURA"
8059;"PALHOÇA - CAPH COLÔNIA AGRÍCOLA"
8117;"PALHOÇA - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8178;"PALHOÇA - CPMA"
8040;"PIÇARRAS - UPA"
8131;"PORTO UNIÃO - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8001;"PORTO UNIÃO - PRESÍDIO"
8132;"RIO DO SUL - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
158;"RIO DO SUL - PRESÍDIO"
11036;"SÃO BENTO DO SUL - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
11034;"SÃO BENTO DO SUL - PENITENCIÁRIA INDUSTRIAL"
8089;"SÃO CRISTÓVÃO DO SUL - PENITENCIÁRIA INDUSTRIAL"
8125;"SÃO FRANCISCO DO SUL - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8075;"SÃO FRANCISCO DO SUL - PRESÍDIO"
188;"SÃO JOAQUIM - UPA"
8116;"SÃO JOSÉ - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8179;"SÃO JOSÉ - CPMA"
8159;"SÃO JOSÉ - Grupo de Operações Aéreas - GOA/DPP"
8138;"SÃO JOSÉ DO CEDRO - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8087;"SÃO JOSÉ DO CEDRO - PRESÍDIO"
8137;"SÃO MIGUEL DO OESTE - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
183;"SÃO MIGUEL DO OESTE - PRESÍDIO"
175;"SÃO PEDRO DE ALCÂNTARA - PENITENCIÁRIA"
11037;"TESTE I-PEN"
8104;"TIJUCAS - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
174;"TIJUCAS - PRESÍDIO"
8120;"TUBARÃO - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8146;"TUBARÃO - PENITENCIÁRIA MASCULINA"
156;"TUBARÃO - Presídio"
8080;"TUBARÃO - PRESÍDIO MASCULINO"
8081;"TUBARÃO - Presídio Regional Feminino"
8105;"VIDEIRA - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8068;"VIDEIRA - PRESÍDIO"
8135;"XANXERÊ - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
167;"XANXERÊ - PRESÍDIO"
